,ObjectId,Country,Technology,Energy_Type,Unit,CTS_Full_Descriptor,F2000,F2003,F2005,F2007,F2009,F2010,F2012,F2014,F2016,F2018,F2020,F2021,F2023
78,79,Antigua and Barbuda,Fossil fuels,Total Non-Renewable,Megawatt (MW),"Environment, Climate Change, Mitigation, Renewable Energy, Electricity Installed Capacity",27.0,37.0,55.0,55.0,55.0,55.0,85.0,119.0,81.0,72.7,75.0,62.55,103.35
79,80,Antigua and Barbuda,Solar energy,Total Renewable,Gigawatt-hours (GWh),"Environment, Climate Change, Mitigation, Renewable Energy, Electricity Generation",69927.5990319277,73316.29718480773,75952.75845279678,79868.88117087664,0.158,0.158,0.473,0.63,5.45,10.25,16.983,21.826,49763.19554529796
80,81,Antigua and Barbuda,Solar energy,Total Renewable,Megawatt (MW),"Environment, Climate Change, Mitigation, Renewable Energy, Electricity Installed Capacity",69927.5990319277,73316.29718480773,75952.75845279678,79868.88117087664,0.1,0.1,0.3,0.4,3.51,8.714,12.864,14.864,15.584
81,82,Argentina,Bioenergy,Total Renewable,Gigawatt-hours (GWh),"Environment, Climate Change, Mitigation, Renewable Energy, Electricity Generation",594.804,839.804,983.804,1006.804,1082.804,1151.814,1183.814,1161.851,1388.314,1535.911,2489.119,2507.334,49763.19554529796
82,83,Argentina,Bioenergy,Total Renewable,Megawatt (MW),"Environment, Climate Change, Mitigation, Renewable Energy, Electricity Installed Capacity",117.605,157.199,162.668,194.517,196.45,206.735,212.195,190.403,219.388,242.503,332.963,364.063,381.221
83,84,Argentina,Fossil fuels,Total Non-Renewable,Gigawatt-hours (GWh),"Environment, Climate Change, Mitigation, Renewable Energy, Electricity Generation",53555.0,49695.0,63685.0,73724.0,77968.0,83750.0,97740.0,98298.0,106919.0,104450.541,95657.769,104640.0,49763.19554529796
84,85,Argentina,Fossil fuels,Total Non-Renewable,Megawatt (MW),"Environment, Climate Change, Mitigation, Renewable Energy, Electricity Installed Capacity",13611.947,14696.636,14562.939,14447.84,16984.166,17660.333,19505.274,23757.31,21260.119,25023.324,25977.354,26014.388,26444.228
85,86,Argentina,Hydropower (excl. Pumped Storage),Total Renewable,Gigawatt-hours (GWh),"Environment, Climate Change, Mitigation, Renewable Energy, Electricity Generation",28749.232,33811.467,33852.412,31103.816,34485.065,33365.926,29009.728,32667.489,29704.415,32289.914,23679.064,19657.461,49763.19554529796
86,87,Argentina,Hydropower (excl. Pumped Storage),Total Renewable,Megawatt (MW),"Environment, Climate Change, Mitigation, Renewable Energy, Electricity Installed Capacity",8614.174,8811.531,8950.051,9185.891,9565.191,9566.132,10135.749,10138.179,10201.738,10320.118,10375.758,10377.268,10390.488
87,88,Argentina,Solar energy,Total Renewable,Gigawatt-hours (GWh),"Environment, Climate Change, Mitigation, Renewable Energy, Electricity Generation",0.036,0.065,0.081,0.109,0.076,0.086,8.193,15.935,14.403,108.272,1345.608,2203.869,49763.19554529796
88,89,Argentina,Solar energy,Total Renewable,Megawatt (MW),"Environment, Climate Change, Mitigation, Renewable Energy, Electricity Installed Capacity",0.025,0.156,0.216,0.241,2.984,4.898,12.474,15.521,15.52,197.95,768.973,1080.226,1408.431
89,90,Argentina,Wind energy,Total Renewable,Gigawatt-hours (GWh),"Environment, Climate Change, Mitigation, Renewable Energy, Electricity Generation",35.0,77.954,75.381,61.593,36.832,25.352,822.0,619.094,548.0,1412.997,9412.333,12939.879,49763.19554529796
90,91,Argentina,Wind energy,Total Renewable,Megawatt (MW),"Environment, Climate Change, Mitigation, Renewable Energy, Electricity Installed Capacity",6.543,0.069,0.069,0.069,0.88,1.134,110.033,188.24,188.24,751.155,2624.0,3292.22,3706.32
91,92,"Armenia, Rep. of",Bioenergy,Total Renewable,Megawatt (MW),"Environment, Climate Change, Mitigation, Renewable Energy, Electricity Installed Capacity",69927.5990319277,73316.29718480773,75952.75845279678,79868.88117087664,1.3,1.3,1.3,84261.38771685425,86320.45860797107,91560.91145717225,92786.70800058803,97445.23709047843,49763.19554529796
92,93,"Armenia, Rep. of",Fossil fuels,Total Non-Renewable,Gigawatt-hours (GWh),"Environment, Climate Change, Mitigation, Renewable Energy, Electricity Generation",2692.1,1521.5,1827.7,1488.8,1154.1,1438.3,3399.1,3288.6,2581.5,3375.6,3165.5,3383.7,49763.19554529796
93,94,"Armenia, Rep. of",Fossil fuels,Total Non-Renewable,Megawatt (MW),"Environment, Climate Change, Mitigation, Renewable Energy, Electricity Installed Capacity",1799.4,1774.4,1774.5,1702.0,1692.1,1931.1,2394.0,2390.0,1840.0,1826.6,1831.6,2085.6,1785.6
94,95,"Armenia, Rep. of",Hydropower (excl. Pumped Storage),Total Renewable,Gigawatt-hours (GWh),"Environment, Climate Change, Mitigation, Renewable Energy, Electricity Generation",1261.1,1981.9,1772.9,1852.5,2019.4,2556.1,2311.0,1992.6,2351.4,2318.2,1778.4,2201.7,49763.19554529796
95,96,"Armenia, Rep. of",Hydropower (excl. Pumped Storage),Total Renewable,Megawatt (MW),"Environment, Climate Change, Mitigation, Renewable Energy, Electricity Installed Capacity",1024.2,1169.8,1026.7,1066.3,1093.9,1123.2,1249.2,1298.1,1311.6,1336.4,1350.0,1345.2,1357.8
